candidate_id,feature,single_factor_passed,screened15_incremental_passed,incremental_evaluation_status,enters_self_factor_composite,enters_joint_elastic_net,tree_incremental_passed,enters_joint_lightgbm,route_count,status
FR-001,self__FR-001,False,False,I_rejected,False,False,False,False,0,rejected
FR-002,self__FR-002,True,True,frozen_I,True,True,True,True,3,admitted
FR-003,self__FR-003,False,False,I_rejected,False,False,False,False,0,rejected
FR-004,self__FR-004,True,False,I_rejected,True,False,False,False,1,admitted
FR-005,self__FR-005,True,True,pending_passed_not_frozen,True,False,True,True,2,admitted
FR-006,self__FR-006,True,False,I_rejected,True,False,False,False,1,admitted
FR-008,self__FR-008,False,False,I_rejected,False,False,False,False,0,rejected
FR-009,self__FR-009,False,False,I_rejected,False,False,False,False,0,rejected
FR-010,self__FR-010,False,False,I_rejected,False,False,False,False,0,rejected
FR-011,self__FR-011,False,False,I_rejected,False,False,False,False,0,rejected
FR-012,self__FR-012,False,True,pending_passed_not_frozen,False,False,False,False,0,rejected
FR-013,self__FR-013,False,False,I_rejected,False,False,False,False,0,rejected
FR-014,self__FR-014,True,False,I_rejected,True,False,False,False,1,admitted
FR-015,self__FR-015,True,True,pending_passed_not_frozen,True,False,True,True,2,admitted
HF-001,self__HF-001,True,False,I_rejected,True,False,False,False,1,admitted
HF-002,self__HF-002,False,False,I_rejected,False,False,False,False,0,rejected
HF-003,self__HF-003,True,True,pending_passed_not_frozen,True,False,True,True,2,admitted
HF-004,self__HF-004,False,False,I_rejected,False,False,True,True,1,admitted
INT-002,self__INT-002,True,False,I_rejected,False,False,False,False,0,rejected
INT-003,self__INT-003,False,False,I_rejected,False,False,False,False,0,rejected
OB-001,self__OB-001,False,False,I_rejected,False,False,True,True,1,admitted
OB-002,self__OB-002,False,False,I_rejected,False,False,False,False,0,rejected
OB-003,self__OB-003,False,True,pending_passed_not_frozen,False,False,True,True,1,admitted
OB-004,self__OB-004,False,False,I_rejected,False,False,False,False,0,rejected
OB-005,self__OB-005,False,False,I_rejected,False,False,False,False,0,rejected
PV-001,self__PV-001,False,False,I_rejected,False,False,True,True,1,admitted
PV-002,self__PV-002,False,False,I_rejected,False,False,False,False,0,rejected
PV-003,self__PV-003,True,True,pending_passed_not_frozen,True,False,False,False,1,admitted
PV-004,self__PV-004,False,False,I_rejected,False,False,False,False,0,rejected
PV-005,self__PV-005,False,False,I_rejected,False,False,False,False,0,rejected
PV-006,self__PV-006,False,False,I_rejected,False,False,False,False,0,rejected
PV-008,self__PV-008,False,False,I_rejected,False,False,False,False,0,rejected
PV-009,self__PV-009,True,True,pending_passed_not_frozen,True,False,True,True,2,admitted
PV-010,self__PV-010,True,False,I_rejected,True,False,False,False,1,admitted
PV-011,self__PV-011,True,True,pending_passed_not_frozen,True,False,False,False,1,admitted
PV-013,self__PV-013,False,False,I_rejected,False,False,False,False,0,rejected
PV-014,self__PV-014,True,True,frozen_I,True,True,True,True,3,admitted
PV-015,self__PV-015,False,False,I_rejected,False,False,False,False,0,rejected
PV-016,self__PV-016,False,False,I_rejected,False,False,False,False,0,rejected
PV-017,self__PV-017,False,False,I_rejected,False,False,False,False,0,rejected
PV-018,self__PV-018,False,False,I_rejected,False,False,False,False,0,rejected
PV-019,self__PV-019,False,False,I_rejected,False,False,False,False,0,rejected
PV-020,self__PV-020,False,True,pending_passed_not_frozen,False,False,True,True,1,admitted
PV-021,self__PV-021,False,False,I_rejected,False,False,False,False,0,rejected
PV-022,self__PV-022,False,False,I_rejected,False,False,False,False,0,rejected
PV-023,self__PV-023,False,False,I_rejected,False,False,False,False,0,rejected
